FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value
ENSMUSG00000030500,Slc17a6,0.2985749098125151,-1.683992722557693,3.1897813150118745e-10,1.852341827110914,1.4615366667321843,1.6121982937183602e-06,0.3834895831410211,-1.0763801736142684,0.6474631300890514,0.4246660106436746,-1.0116199043337224,0.01081324051580843,4.136881675796104,3.1633005603994646,5.926366228035455e-37,0.14891622415055086,-2.493045680902351,3.1174550117953293e-07,0.2534775638404296,-1.7880008285549105,4.059156534164671e-06,0.16178006253841523,-2.360397799055533,1.7688696910630144e-05,0.21744636841331572,-1.8418712035580538,1
ENSMUSG00000038872,Zfhx3,0.09659776493934312,-1.8831011242404208,3.308348294584037e-10,0.8694665719092045,1.9366347811634514,1.2359124090922103e-10,0.21404069756708155,-0.4453006886257951,1,0.04343175108855763,-2.908841989863328,1.0520504801217327e-11,1.5048329801601632,3.1263321696815574,1.9014065259649618e-31,0.14891622415055086,-1.012485240165523,0.07859223654165295,0.04048599978006861,-2.9836072105460287,4.9639613872087135e-11,0.03489373897887387,-3.0475002012090417,3.009826366336055e-06,0.1418128489652059,-0.9803452872094738,1
ENSMUSG00000013076,Amotl1,0.22344331485969268,-1.7291695587031077,3.6136320687541856e-10,0.9072694663400395,0.6568246625788308,0.18085227040641236,0.3388977711478791,-0.8706090441445673,0.986890918803986,0.17694417110153107,-1.9509018113042624,1.5039620182921313e-07,3.798716961153371,3.6837787440606076,1.1113201530478456e-51,0.2176467891431128,-1.5562266373224558,0.0016695076233185799,0.22003260750037287,-1.6058721953470596,8.202566800381713e-05,0.15860790444942668,-2.0059592725774698,0.000458761683161686,0.3498050274475079,-0.7913114628194563,1
ENSMUSG00000037166,Ppp1r14a,0.47030426970468064,-1.6334457482078268,4.054880975012513e-10,1.3810657432065045,0.22005287094545925,0.8757684893798227,0.4369997575327915,-1.508656424662667,0.12078245133618092,0.4745320952268333,-1.4955087967967327,2.304155422559522e-05,1.2483914048894238,0.055984327751281204,1,6.4463542415940385,3.20402209008435,1.945977878007566e-38,0.8466854736614349,-0.5781203179537273,0.46783820572728846,0.3013550184539107,-2.078996577849593,0.00010103988947645182,0.7374268146190707,-0.7183485565034364,1
ENSMUSG00000026278,Bok,0.3229682847971977,-1.604876656786817,4.551069723668318e-10,0.4637155050182424,-0.8737400426870573,0.13430244975647254,0.4503773011307341,-0.8829383259071659,0.8592076627529515,0.6305646824709108,-0.4248463949827764,0.640378073756674,2.1163475058057726,1.6250961029623825,3.016600209969459e-08,0.26919471288753427,-1.6743578081137442,0.0002649706240421906,0.8871714734415035,0.1478983684364623,1,2.306158930694664,1.750379174822265,1.4942252410109974e-08,1.2952240205488805,0.6919425045840195,1
ENSMUSG00000027199,Gatm,0.5473873346562776,-1.6028702636824397,7.831093515117458e-10,1.587721566095069,0.23106216804279212,0.8498307985769104,0.5663160123129033,-1.325052714142409,0.2568337962131918,0.4793578453477842,-1.6830006022819761,1.5046581348555763e-06,1.6739153374815299,0.3131740116577016,0.7521151179327382,7.379944416076338,3.2115103140171293,9.21155261790205e-39,0.8484457345214378,-0.785900635776371,0.14761463304004635,0.31087149272087633,-2.2285579212480706,2.5622278250611587e-05,0.7563351944810982,-0.8758461314729281,1
ENSMUSG00000041309,Nkx6-2,0.16489921489645443,-1.6952240779753667,8.752317053559339e-10,0.6199674686656936,0.5623672149355319,0.31328646201956983,0.16498970437462537,-1.4377357721363562,0.21930894036274876,0.15120683712312655,-1.6959143561044483,5.60674904596289e-06,0.5664258970265783,0.40714099209724375,0.6097316946639592,2.259517324130474,3.091653415946377,9.041226724121637e-34,0.27812121588047134,-0.74311492598613,0.23446626492293135,0.08247611031370188,-2.465057692466401,1.9083704708488487e-05,0.22690055834432946,-0.9307023704228481,1
ENSMUSG00000037625,Cldn11,1.283091524194305,-1.533586139502366,1.089821288042473e-09,3.7223250049562173,0.301837343129719,0.776922444940554,1.5562542385606555,-1.0317568064389548,0.6533850707082489,1.047187776246334,-1.7261433366409784,3.9378997004136674e-07,3.6239985252546254,0.2543853572281711,0.9047542935823102,15.805166174747889,3.0866727140214354,2.673541178937645e-36,2.0841488582435317,-0.6434312948413778,0.2787497220418265,0.7042190957554545,-2.222438250614747,1.5381179174137384e-05,2.0610134049609927,-0.6019677221544841,1
ENSMUSG00000044708,Kcnj10,0.5561689496507635,-1.5279523025440165,1.462843432836828e-09,2.3210977180532675,0.9213028333515523,0.011524213229541246,1.1281728434264924,-0.25551581347278784,1,1.1437027786653509,-0.259837332362704,0.957838902091631,3.8071710790194393,1.8008515119528032,1.9719576693140154e-10,1.9215920462503775,0.5876392265757646,0.1274161930906305,0.8519662562414438,-0.7308892218566942,0.18154937829387877,0.5551276655729934,-1.3319849669142099,0.01694750396690593,1.389765919859018,0.05721582912462131,1
ENSMUSG00000020486,Sept4,0.8362048944749197,-1.5313326664365532,1.4980092855959877e-09,2.258092894001876,0.1870920247907829,0.909538671248698,0.8829178774642115,-1.2326014162008554,0.32007918937650165,1.121182611434247,-0.9553161661955991,0.011905743543169225,2.5728698705734625,0.39525770784039105,0.640772623260256,8.995112693401543,2.7506591693971543,4.534465986885112e-28,1.5930360783026996,-0.3843609877092502,0.8035719968359228,0.6820139891325347,-1.6361944552806509,0.001961542317395223,1.2668614507558393,-0.6822178307359814,1
